Ticker, Code, Name
BABZ,GOOG/AMEX_BABZ,PIMCO ETF Trust 
BAL,GOOG/AMEX_BAL,iPath DJ-UBS Cotton Subindex Total Return SM Index ETN 
BARL,GOOG/AMEX_BARL,Morgan Stanley S&amp;P 500 Crude Oil Linked ETNs due July 1
BBH,GOOG/AMEX_BBH,Merrill Lynch Biotech HOLDRS ETF 
BBVX,GOOG/AMEX_BBVX,Daily 2-Mo S&P 500 VIX ETN UBS E-Tracs 
BCM,GOOG/AMEX_BCM,iPath Pure Beta Broad Commodity ETN 
BCV,GOOG/AMEX_BCV,Bancroft Fund Ltd. 
BDCL,GOOG/AMEX_BDCL,2xLeveraged Long Exchange Traded Access Securities 
BDCS,GOOG/AMEX_BDCS,UBS AG Exchange Traded Access Securities 
BDD,GOOG/AMEX_BDD,PowerShares DB Base Metals Double Long ETN 
BDG,GOOG/AMEX_BDG,PowerShares DB Base Metals Long ETN 
BDL,GOOG/AMEX_BDL,Flanigan's Enterprises
BDR,GOOG/AMEX_BDR,Blonder Tongue Labs
BEM,GOOG/AMEX_BEM,Structured Product Capital Prot 
BFY,GOOG/AMEX_BFY,Blackrock New York Municipal Incme Tr II 
BHB,GOOG/AMEX_BHB,Bar Harbor Bankshares 
BHV,GOOG/AMEX_BHV,BlackRock Virginia Municipal Bond Trust 
BIK,GOOG/AMEX_BIK,SPDR S&amp;P BRIC 40 
BIL,GOOG/AMEX_BIL,SPDR Barclays Capital 1-3 Month T- 
BIR_A,GOOG/AMEX_BIR_A,Berkshire Income Realty
BIV,GOOG/AMEX_BIV,Vanguard Intermediate-Term Bond ETF 
BJK,GOOG/AMEX_BJK,Market Vectors Gaming 
BKF,GOOG/AMEX_BKF,iShares MSCI BRIC Index Fund 
BKJ,GOOG/AMEX_BKJ,Bancorp of New Jersey Inc 
BKLN,GOOG/AMEX_BKLN,PowerShares Exchange
BKR,GOOG/AMEX_BKR,Michael Baker Corp 
BLE,GOOG/AMEX_BLE,BlackRock Municipal Income Trust II 
BLJ,GOOG/AMEX_BLJ,Blackrock New Jersey Municipal Bond Trst 
BLND,GOOG/AMEX_BLND,DJ-UBS Commodity 246 Bf ETN UBS E-Tracs 
BLNG,GOOG/AMEX_BLNG,iPath Pure Beta Precious Metal ETN 
BLV,GOOG/AMEX_BLV,Vanguard Long-Term Bond ETF 
BMJ,GOOG/AMEX_BMJ,Birks &amp; Mayors Inc 
BND,GOOG/AMEX_BND,Vanguard Total Bond Market ETF 
BNO,GOOG/AMEX_BNO,United States Brent Oil Fund
BNPC,GOOG/AMEX_BNPC,Stream S&P Dynamic Roll Global 
BOIL,GOOG/AMEX_BOIL,ProShares Trust II 
BOM,GOOG/AMEX_BOM,PowerShares DB Base Metals Double Short ETN 
BOND,GOOG/AMEX_BOND,Total Return ETF Pimco 
BONE,GOOG/AMEX_BONE,Bacterin International Holdings Inc 
BONO,GOOG/AMEX_BONO,Market Vectors ETF Trust 
