Ticker, Code, Name
ALKS,GOOG/NASDAQ_ALKS,Alkermes Plc 
ALLB,GOOG/NASDAQ_ALLB,Alliance Bancorp
ALLT,GOOG/NASDAQ_ALLT,Allot Communications Ltd 
ALNC,GOOG/NASDAQ_ALNC,Alliance Financial Corp. 
ALNY,GOOG/NASDAQ_ALNY,Alnylam Pharmaceuticals
ALOG,GOOG/NASDAQ_ALOG,Analogic Corporation 
ALOT,GOOG/NASDAQ_ALOT,Astro-Med
ALRN,GOOG/NASDAQ_ALRN,American Learning Corp 
ALSK,GOOG/NASDAQ_ALSK,Alaska Communications Systems Group Inc 
ALTE,GOOG/NASDAQ_ALTE,Alterra Capital Holdings Ltd 
ALTH,GOOG/NASDAQ_ALTH,Allos Therapeutics 
ALTI,GOOG/NASDAQ_ALTI,Altair Nanotechnologies Inc. 
ALTR,GOOG/NASDAQ_ALTR,Altera Corporation 
ALVR,GOOG/NASDAQ_ALVR,Alvarion Ltd 
ALXA,GOOG/NASDAQ_ALXA,Alexza Pharmaceuticals
ALXN,GOOG/NASDAQ_ALXN,Alexion Pharmaceuticals
AMAG,GOOG/NASDAQ_AMAG,AMAG Pharmaceuticals
AMAP,GOOG/NASDAQ_AMAP,AutoNavi Holdings Ltd 
AMAT,GOOG/NASDAQ_AMAT,Applied Materials
AMBA,GOOG/NASDAQ_AMBA,Ambarella Inc 
AMBT,GOOG/NASDAQ_AMBT,Ambient Corporation 
AMCC,GOOG/NASDAQ_AMCC,Applied Micro Circuits Corporation 
AMCF,GOOG/NASDAQ_AMCF,Andatee China Marine Fuel Ser Corp 
AMCN,GOOG/NASDAQ_AMCN,AirMedia Group Inc 
AMCX,GOOG/NASDAQ_AMCX,AMC Networks Inc 
AMED,GOOG/NASDAQ_AMED,Amedisys Inc 
AMGN,GOOG/NASDAQ_AMGN,Amgen
AMIC,GOOG/NASDAQ_AMIC,American Independence Corp. 
AMKR,GOOG/NASDAQ_AMKR,Amkor Technology
AMNB,GOOG/NASDAQ_AMNB,American National BankShares Inc 
AMOT,GOOG/NASDAQ_AMOT,Allied Motion Technologies
AMOV,GOOG/NASDAQ_AMOV,America Movil SAB de CV 
AMPE,GOOG/NASDAQ_AMPE,Ampio Pharmaceuticals
AMPL,GOOG/NASDAQ_AMPL,Ampal-American Israel Corp. 
AMRB,GOOG/NASDAQ_AMRB,American River Bankshares 
AMRI,GOOG/NASDAQ_AMRI,Albany Molecular Research
AMRN,GOOG/NASDAQ_AMRN,Amarin Corporation plc 
AMRS,GOOG/NASDAQ_AMRS,Amyris Inc 
AMSC,GOOG/NASDAQ_AMSC,American Superconductor Corporation 
AMSF,GOOG/NASDAQ_AMSF,Amerisafe
AMSG,GOOG/NASDAQ_AMSG,Amsurg Corp 
AMSWA,GOOG/NASDAQ_AMSWA,American Software
AMWD,GOOG/NASDAQ_AMWD,American Woodmark Corporation 
AMZN,GOOG/NASDAQ_AMZN,Amazon.com
ANAC,GOOG/NASDAQ_ANAC,Anacor Pharmaceuticals Inc 
ANAD,GOOG/NASDAQ_ANAD,ANADIGICS
ANAT,GOOG/NASDAQ_ANAT,American National Insurance Company 
ANCB,GOOG/NASDAQ_ANCB,Anchor Bancorp 
ANCI,GOOG/NASDAQ_ANCI,American Caresource Holdings
ANCX,GOOG/NASDAQ_ANCX,Access National Corporation 
ANDA,GOOG/NASDAQ_ANDA,Andina Acquisition Corp 
ANDAU,GOOG/NASDAQ_ANDAU,Andina Acquisition Corp 
ANDE,GOOG/NASDAQ_ANDE,The Andersons
ANEN,GOOG/NASDAQ_ANEN,Anaren
ANGI,GOOG/NASDAQ_ANGI,Angie's List Inc 
ANGN,GOOG/NASDAQ_ANGN,Angeion Corp. 
ANGO,GOOG/NASDAQ_ANGO,AngioDynamics
ANIK,GOOG/NASDAQ_ANIK,Anika Therapeutics
ANLY,GOOG/NASDAQ_ANLY,Analysts International Corporation 
ANNB,GOOG/NASDAQ_ANNB,Annapolis Bancorp
ANSS,GOOG/NASDAQ_ANSS,ANSYS
ANTH,GOOG/NASDAQ_ANTH,Anthera Pharmaceuticals Inc 
ANTP,GOOG/NASDAQ_ANTP,PHAZAR CORP. 
AONE,GOOG/NASDAQ_AONE,A123 Systems 
AOSL,GOOG/NASDAQ_AOSL,Alpha and Omega Semiconductor Ltd 
APAGF,GOOG/NASDAQ_APAGF,Apco Oil and Gas International Inc 
APEI,GOOG/NASDAQ_APEI,American Public Education
APFC,GOOG/NASDAQ_APFC,American Pacific Corporation 
APKT,GOOG/NASDAQ_APKT,Acme Packet
APOG,GOOG/NASDAQ_APOG,Apogee Enterprises
APOL,GOOG/NASDAQ_APOL,Apollo Group Inc 
APPY,GOOG/NASDAQ_APPY,Venaxis Inc 
APRI,GOOG/NASDAQ_APRI,Apricus Biosciences Inc 
APSA,GOOG/NASDAQ_APSA,Alto Palermo S.A. 
APWC,GOOG/NASDAQ_APWC,Asia Pacific Wire &amp; Cable 
AQU,GOOG/NASDAQ_AQU,Aquasition Corp 
AQUUU,GOOG/NASDAQ_AQUUU,Aquasition Corp 
ARAY,GOOG/NASDAQ_ARAY,Accuray Incorporated 
